tensor([0.2056]),tensor([0.2597]),tensor([0.0771]),tensor([0.2261]),tensor([0.1951]),tensor([0.2263]),tensor([0.3234]),tensor([0.3370]),tensor([0.2188]),tensor([0.2125])
tensor([0.1391]),tensor([0.2767]),tensor([0.2376]),tensor([0.3859]),tensor([0.3597]),tensor([0.3412]),tensor([0.3025]),tensor([0.0753]),tensor([0.2269]),tensor([0.2018])
tensor([0.2383]),tensor([0.2452]),tensor([0.2927]),tensor([0.2069]),tensor([0.2517]),tensor([0.1936]),tensor([0.2310]),tensor([0.1935]),tensor([0.2362]),tensor([0.1991])
tensor([0.1930]),tensor([0.2267]),tensor([0.2628]),tensor([0.0849]),tensor([0.1640]),tensor([0.0820]),tensor([0.1621]),tensor([0.2293]),tensor([0.2286]),tensor([0.2024])
tensor([0.2038]),tensor([0.2431]),tensor([0.3492]),tensor([0.3917]),tensor([0.3762]),tensor([0.3454]),tensor([0.3574]),tensor([0.3844]),tensor([0.2286]),tensor([0.1842])
tensor([0.2382]),tensor([0.2007]),tensor([0.0163]),tensor([0.2196]),tensor([0.0268]),tensor([0.0240]),tensor([0.0298]),tensor([0.0299]),tensor([0.2003]),tensor([0.2575])
tensor([0.2050]),tensor([0.2393]),tensor([0.2001]),tensor([0.2748]),tensor([0.2142]),tensor([0.3558]),tensor([0.2134]),tensor([0.2690]),tensor([0.2088]),tensor([0.2068])
tensor([0.2166]),tensor([0.1644]),tensor([0.0709]),tensor([0.2018]),tensor([0.0657]),tensor([0.2024]),tensor([0.2067]),tensor([0.2233]),tensor([0.2135]),tensor([0.2593])
tensor([0.1999]),tensor([0.2518]),tensor([0.2031]),tensor([0.2896]),tensor([0.2079]),tensor([0.2154]),tensor([0.0976]),tensor([0.2663]),tensor([0.2293]),tensor([0.2151])
tensor([0.2749]),tensor([0.2049]),tensor([0.2270]),tensor([0.2044]),tensor([0.0539]),tensor([0.1477]),tensor([0.1924]),tensor([0.0959]),tensor([0.1939]),tensor([0.0901])
tensor([0.2024]),tensor([0.3778]),tensor([0.2771]),tensor([0.0873]),tensor([0.1838]),tensor([0.1741]),tensor([0.0966]),tensor([0.0870]),tensor([0.1779]),tensor([0.2388])
tensor([0.2248]),tensor([0.2103]),tensor([0.3050]),tensor([0.3530]),tensor([0.3222]),tensor([0.2745]),tensor([0.3331]),tensor([0.0837]),tensor([0.2307]),tensor([0.2135])
tensor([0.2614]),tensor([0.2137]),tensor([0.2023]),tensor([0.1981]),tensor([0.1763]),tensor([0.3621]),tensor([0.2034]),tensor([0.2813]),tensor([0.2077]),tensor([0.1725])
tensor([0.2447]),tensor([0.2277]),tensor([0.3825]),tensor([0.3200]),tensor([0.3750]),tensor([0.3222]),tensor([0.2077]),tensor([0.2129]),tensor([0.0910]),tensor([0.2250])
tensor([0.2266]),tensor([0.2184]),tensor([0.2085]),tensor([0.2164]),tensor([0.2152]),tensor([0.3442]),tensor([0.3693]),tensor([0.2752]),tensor([0.3871]),tensor([0.2089])
tensor([0.2148]),tensor([0.2240]),tensor([0.2551]),tensor([0.2353]),tensor([0.0882]),tensor([0.1369]),tensor([0.1223]),tensor([0.0912]),tensor([0.2290]),tensor([0.2486])
tensor([0.2079]),tensor([0.2083]),tensor([0.2172]),tensor([0.1567]),tensor([0.1825]),tensor([0.0821]),tensor([0.1177]),tensor([0.1254]),tensor([0.0845]),tensor([0.2235])
tensor([0.2567]),tensor([0.2216]),tensor([0.0926]),tensor([0.2207]),tensor([0.2380]),tensor([0.1081]),tensor([0.2584]),tensor([0.2346]),tensor([0.1000]),tensor([0.1958])
tensor([0.1850]),tensor([0.0966]),tensor([0.1866]),tensor([0.2125]),tensor([0.2041]),tensor([0.2299]),tensor([0.1928]),tensor([0.2141]),tensor([0.2287]),tensor([0.1836])
tensor([0.2349]),tensor([0.2199]),tensor([0.0926]),tensor([0.1324]),tensor([0.2467]),tensor([0.0982]),tensor([0.2123]),tensor([0.2091]),tensor([0.2211]),tensor([0.2302])
tensor([0.1878]),tensor([0.2138]),tensor([0.0947]),tensor([0.2112]),tensor([0.2076]),tensor([0.2130]),tensor([0.2222]),tensor([0.1823]),tensor([0.2422]),tensor([0.2220])
tensor([0.2312]),tensor([0.2024]),tensor([0.2201]),tensor([0.1802]),tensor([0.1936]),tensor([0.2079]),tensor([0.2256]),tensor([0.2079]),tensor([0.2480]),tensor([0.2140])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000]),tensor([0.2000])
