[[1.58181818]],[[2.3069183]],[[2.53535354]],[[1.64646465]],[[2.50070921]],[[2.37260113]],[[2.40460217]],[[1.89723024]],[[1.90505049]],[[1.2263269]]
[[1.45252525]],[[2.43838384]],[[2.0989899]],[[2.45454545]],[[1.67880647]],[[2.34134519]],[[1.84026501]],[[2.17969906]],[[1.37171717]],[[1.12929293]]
[[1.87272652]],[[1.24242426]],[[2.53535354]],[[2.05050505]],[[1.29090909]],[[2.34141414]],[[2.11515152]],[[1.71111111]],[[1.42020199]],[[1.19281378]]
[[1.25858586]],[[1.67878788]],[[1.93737374]],[[2.42219209]],[[1.88888889]],[[1.45256029]],[[2.45454545]],[[1.58181818]],[[2.09899249]],[[1.33941354]]
[[1.27511237]],[[1.33941586]],[[1.58181818]],[[1.61414417]],[[1.96969697]],[[2.60000004]],[[2.03434343]],[[1.37171717]],[[2.13131313]],[[1.33939394]]
[[1.46868687]],[[2.06666667]],[[1.69494949]],[[2.01818171]],[[1.03232323]],[[1.77575779]],[[2.05050505]],[[1.75959596]],[[1.51713971]],[[1.2017666]]
[[1.45268253]],[[2.13131313]],[[1.67878874]],[[1.74343434]],[[2.1959596]],[[1.66262626]],[[2.03434343]],[[1.87272727]],[[2.42222222]],[[1.46868678]]
[[1.43636484]],[[2.04817313]],[[2.0989899]],[[2.40606061]],[[1.85656566]],[[1.61414141]],[[2.34141414]],[[1.82424242]],[[1.77575758]],[[1.37171717]]
[[1.69500102]],[[2.26060606]],[[1.77575758]],[[1.63030303]],[[1.74343434]],[[2.01818182]],[[2.26060606]],[[1.74343548]],[[1.69495384]],[[1.30707071]]
[[1.30707071]],[[2.6]],[[1.35555556]],[[2.30909078]],[[1.30707071]],[[1.35555556]],[[2.55151515]],[[1.85656566]],[[1.53333728]],[[1.27474747]]
[[1.04848485]],[[1.33939394]],[[1.16161616]],[[1.71111114]],[[2.58383838]],[[1.82424242]],[[2.22854594]],[[1.79191919]],[[1.88888889]],[[1.33939394]]
[[1.19393939]],[[1.54949495]],[[2.14747484]],[[1.79686367]],[[1.56565657]],[[2.03434343]],[[1.66452111]],[[2.32525253]],[[1.48484848]],[[1.24214888]]
[[1.14545618]],[[1.38591391]],[[1.2909091]],[[1.63030303]],[[1.57225289]],[[1.98458822]],[[2.32525254]],[[2.56767677]],[[2.59999923]],[[1.87272727]]
[[1.37171717]],[[2.03434343]],[[1.4040404]],[[2.19591104]],[[1.67878792]],[[1.42020202]],[[1.50101011]],[[2.58383857]],[[1.22626263]],[[1.06464646]]
[[1.19393939]],[[2.13131253]],[[1.45252525]],[[2.35757576]],[[1.48484848]],[[2.50295663]],[[1.45252525]],[[1.17777783]],[[1.5979798]],[[1.12929293]]
[[1.0969697]],[[1.40417766]],[[1.63030303]],[[1.95354171]],[[1.98585872]],[[2.19579107]],[[2.55141634]],[[2.14747475]],[[1.71111111]],[[1.32323232]]
[[1.32323232]],[[1.59088895]],[[1.69494949]],[[1.69494949]],[[2.55151516]],[[1.45252525]],[[1.63030303]],[[2.27671836]],[[1.48484848]],[[1.17777778]]
